,Quantity,date_time
1,35.24,2022-11-12 17:57:00
2,34.65,2022-10-09 08:08:00
3,33.94,2022-09-05 15:45:00
5,33.54,2022-06-08 08:25:00
8,32.5,2022-03-08 10:09:00
12,30.5,2021-12-06 07:58:00
19,29.0,2021-09-07 07:58:00
297,27.75,2021-07-04 14:48:00
462,27.25,2021-06-11 09:18:00
676,26.5,2021-05-15 06:54:00
1051,26.0,2021-03-31 09:34:00
1137,25.0,2021-03-22 11:17:00
1348,24.5,2021-02-28 16:20:00
1633,24.0,2021-02-14 08:30:00
2193,23.0,2021-01-15 16:04:00
3003,20.5,2020-12-08 08:00:00
3006,20.5,2020-12-08 08:00:00
3038,20.0,2020-12-04 07:23:00
