,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results
South_korea86,0.2284615384615386,0.05769230769230766,0.27538461538461534,0.28384615384615386,-0.07538461538461541,0.005384615384615381,0.0692307692307692,-0.3323076923076923,0.15000000000000002,-0.07923076923076929,-0.09923076923076922,0.01384615384615385,0.1307692307692308,0.433076923076923,0.08384615384615382,0.3746153846153846,20
South_korea90,-0.2415384615384615,-0.3523076923076923,-0.36153846153846153,-0.2138461538461538,-0.33615384615384614,-0.17538461538461533,-0.16999999999999998,-0.3992307692307693,-0.21538461538461537,0.07153846153846154,0.24538461538461542,0.38923076923076916,0.0076923076923077335,0.5669230769230769,-0.18384615384615385,-0.37538461538461537,22
South_korea94,0.1484615384615385,0.0799999999999999,0.2823076923076924,0.13692307692307695,-0.07615384615384616,-0.13615384615384615,0.06923076923076926,0.19461538461538463,-0.00538461538461539,-0.2853846153846154,-0.2738461538461538,0.1946153846153846,-0.0961538461538462,0.026923076923076945,-0.04461538461538465,-0.05230769230769227,20
South_korea98,-0.10307692307692305,-0.2707692307692308,-0.020000000000000018,-0.35000000000000003,-0.15923076923076918,0.011538461538461497,-0.18615384615384614,-0.47692307692307695,-0.3423076923076923,-0.20923076923076916,0.3353846153846155,0.1323076923076923,0.36307692307692313,-0.2107692307692308,-0.2553846153846154,-0.22307692307692306,30
South_korea02,0.0953846153846154,0.25076923076923074,0.24692307692307688,0.11846153846153842,0.10000000000000002,0.0007692307692307614,0.09538461538461548,0.16384615384615386,0.4099999999999999,0.26692307692307693,-0.1846153846153846,-0.2253846153846154,0.14923076923076925,0.03461538461538462,0.08230769230769229,0.06230769230769232,4
South_korea06,0.156923076923077,0.010769230769230809,0.3730769230769232,0.39692307692307693,0.30461538461538457,0.06846153846153845,-0.20076923076923073,-0.01153846153846155,0.46230769230769236,0.08999999999999998,-0.18923076923076926,-0.2576923076923077,0.5492307692307693,-0.06384615384615386,0.06923076923076923,0.42999999999999994,17
South_korea10,0.3984615384615383,0.2584615384615384,-0.10692307692307693,0.1230769230769231,0.06153846153846154,-0.023846153846153885,0.0376923076923077,0.03923076923076925,0.2369230769230769,0.1707692307692308,0.003076923076923088,-0.10153846153846152,0.40538461538461534,0.09615384615384617,0.2338461538461538,0.22384615384615383,15
South_korea18,0.0753846153846154,-0.05923076923076925,0.21538461538461537,0.38153846153846155,0.12538461538461537,-0.08384615384615382,0.28153846153846146,0.13999999999999999,-0.0323076923076923,-0.11230769230769225,0.3023076923076923,0.1207692307692308,0.6315384615384615,-0.2476923076923077,0.1346153846153846,0.4815384615384615,27
8,0.11000000000000004,0.03230769230769234,-0.15,0.017692307692307674,-0.37307692307692303,-0.3230769230769231,0.3769230769230771,-0.11384615384615385,-0.22999999999999995,-0.15461538461538463,0.2976923076923078,-0.11692307692307694,-0.21538461538461537,0.7992307692307692,-0.030000000000000023,0.17615384615384613,19
