MP,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Squad_code,gls_gm,poss
6.0,1.89,1.11,3.0,1.42,2.53,11.8,8.9,6.2,15.0,1.87,0.98,2.84,1.4,2.37,0,2.0,58.0
6.0,0.9,0.9,1.8,0.9,1.8,6.4,6.4,5.0,11.4,0.95,0.75,1.71,0.95,1.71,15,1.0,55.0
6.0,2.17,1.83,4.0,2.17,4.0,11.6,11.6,9.7,21.2,1.93,1.61,3.54,1.93,3.54,13,2.1666666666666665,52.2
6.0,0.79,0.63,1.42,0.79,1.42,5.4,5.4,4.3,9.7,0.86,0.68,1.54,0.86,1.54,19,0.8333333333333334,37.2
5.0,1.5,1.13,2.62,1.31,2.44,12.0,11.2,8.2,19.4,2.24,1.54,3.79,2.09,3.64,3,1.6,56.2
5.0,2.6,2.2,4.8,2.4,4.6,8.7,7.1,5.7,12.8,1.73,1.13,2.87,1.42,2.55,11,2.6,62.8
5.0,1.87,1.5,3.38,1.87,3.38,4.6,4.6,2.9,7.5,0.86,0.54,1.41,0.86,1.41,21,2.0,53.0
5.0,2.4,2.0,4.4,2.0,4.0,7.8,6.2,5.2,11.4,1.56,1.04,2.6,1.24,2.29,23,2.4,60.4
4.0,0.75,0.75,1.5,0.75,1.5,2.3,2.3,1.9,4.2,0.58,0.48,1.06,0.58,1.06,1,0.75,37.8
4.0,1.15,0.92,2.08,1.15,2.08,5.0,5.0,3.5,8.5,1.15,0.81,1.96,1.15,1.96,17,1.25,35.8
4.0,1.25,0.75,2.0,1.25,2.0,4.6,4.6,3.3,7.9,1.14,0.83,1.98,1.14,1.98,18,1.25,48.3
4.0,0.75,0.25,1.0,0.5,0.75,4.5,2.9,1.8,4.7,1.14,0.44,1.58,0.74,1.18,22,0.75,37.3
4.0,1.25,0.5,1.75,1.0,1.5,4.6,3.8,2.5,6.2,1.14,0.61,1.75,0.94,1.55,27,1.25,44.8
4.0,2.08,1.15,3.23,1.85,3.0,6.2,5.4,4.0,9.4,1.42,0.92,2.34,1.24,2.16,12,2.25,75.8
4.0,1.25,1.0,2.25,1.25,2.25,5.6,5.6,3.6,9.2,1.41,0.89,2.3,1.41,2.3,5,1.25,49.0
4.0,0.75,0.75,1.5,0.75,1.5,4.1,4.1,3.5,7.6,1.01,0.87,1.89,1.01,1.89,29,0.75,53.0
3.0,0.33,0.33,0.67,0.33,0.67,4.7,4.7,3.8,8.5,1.57,1.27,2.85,1.57,2.85,2,0.3333333333333333,57.0
3.0,1.33,1.33,2.67,1.33,2.67,3.4,3.4,2.0,5.4,1.14,0.66,1.8,1.14,1.8,6,1.3333333333333333,41.7
3.0,0.33,0.33,0.67,0.33,0.67,4.2,3.6,2.8,6.4,1.41,0.95,2.35,1.18,2.13,4,0.3333333333333333,52.0
3.0,1.0,0.33,1.33,1.0,1.33,1.4,1.4,0.6,2.0,0.48,0.2,0.68,0.48,0.68,7,1.0,31.3
3.0,0.33,0.33,0.67,0.33,0.67,2.7,2.7,1.8,4.5,0.9,0.59,1.49,0.9,1.49,9,0.3333333333333333,60.0
3.0,1.33,0.67,2.0,1.0,1.67,3.7,2.9,1.8,4.7,1.24,0.6,1.84,0.98,1.58,10,1.3333333333333333,53.3
3.0,2.0,1.67,3.67,1.67,3.33,10.1,9.3,7.5,16.8,3.35,2.5,5.85,3.09,5.59,8,2.0,59.3
3.0,1.67,0.67,2.33,1.67,2.33,4.1,3.4,1.7,5.1,1.38,0.57,1.95,1.13,1.7,14,1.6666666666666667,42.0
3.0,1.33,0.67,2.0,1.0,1.67,3.2,2.8,2.4,5.2,1.07,0.81,1.88,0.94,1.75,16,1.3333333333333333,36.7
3.0,0.67,0.33,1.0,0.67,1.0,3.3,3.3,2.7,6.0,1.09,0.9,1.99,1.09,1.99,20,0.6666666666666666,54.0
3.0,0.33,0.33,0.67,0.33,0.67,1.4,1.4,1.2,2.6,0.47,0.39,0.87,0.47,0.87,24,0.3333333333333333,43.0
3.0,1.0,0.67,1.67,1.0,1.67,3.0,2.1,1.4,3.5,0.99,0.47,1.47,0.71,1.18,26,1.0,44.7
3.0,1.67,1.33,3.0,1.67,3.0,3.4,3.4,2.9,6.2,1.12,0.95,2.07,1.12,2.07,25,1.6666666666666667,51.3
3.0,0.33,0.33,0.67,0.33,0.67,2.3,2.3,1.9,4.2,0.77,0.64,1.41,0.77,1.41,28,0.3333333333333333,44.3
3.0,0.67,0.33,1.0,0.67,1.0,3.7,3.7,2.8,6.4,1.23,0.92,2.15,1.23,2.15,30,0.6666666666666666,48.7
3.0,0.33,0.0,0.33,0.0,0.0,2.7,1.9,1.8,3.7,0.91,0.59,1.49,0.65,1.23,31,0.3333333333333333,46.7
,,,,,,,,,,,,,,,-1,,
